tf1__airline_Air India,tf1__airline_Indigo,tf1__airline_Jet Airways,tf1__airline_Multiple Carriers,tf1__airline_Other,tf2__date_weekend,tf3__route,tf3__source_is_north,tf3__destination_is_north,tf4__part_of_month,tf4__dtoj_day,tf5__part_of_day,tf5__dep_time_hour,tf6__pca0,tf6__dtoj_month,tf7__pca0,tf7__total_stops,tf7__is_direct_flight,tf8__duration_rbf_25,tf8__duration_rbf_50,tf8__duration_rbf_75,tf8__duration_cat,tf8__duration,tf9__additional_info_Other,tf9__additional_info_in-flight meal not included,tf9__additional_info_no info
0.0,0.0,0.0,1.0,0.0,0,10497.166666666666,1,0,1.1312267155044053,0.19230769230769232,12,0.6521739130434783,-0.32176366471256634,-0.2128301575625197,0.21056054563128473,1,0,-0.3611528739284868,-0.10093480124377129,-0.08214258395949302,2.0,-0.008145189712026163,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1,9146.543995572772,0,0,1.1312267155044053,0.3076923076923077,20,0.8695652173913043,0.6762883282937502,-0.2128301575625197,1.073061872466782,1,0,-0.3611528739284868,-0.10093480124377129,-0.08214258395949302,2.0,1.2255886843989965,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0,7991.070821529745,0,1,-0.6695208751206501,0.5384615384615385,4,0.43478260869565216,-0.2593760116382657,1.2495972436381522,1.342362005539492,2,0,-0.3611528739284868,-0.10093480124377129,-0.08214258395949302,2.0,0.07342399204738029,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0,7991.070821529745,0,1,1.1312267155044053,0.19230769230769232,4,0.34782608695652173,-0.2593760116382657,1.2495972436381522,1.2797770665017358,1,0,-0.3611528739284868,-0.10093480124377129,-0.08214258395949302,2.0,1.5212769682768448,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0,10497.166666666666,1,0,-1.0359751600635179,1.0,4,0.3913043478260869,-0.30096778035446614,-0.03132282735298011,0.3602508585531478,1,0,-0.3611528739284868,-0.10093480124377129,-0.08214258395949302,2.0,0.20597391240641577,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1,7991.070821529745,0,1,-1.0359751600635179,0.8846153846153847,20,0.9130434782608695,0.7386759813680508,1.2495972436381522,-1.5057459456861024,0,1,2.442937258548544,-0.10093480124377129,-0.08214258395949302,0.0,-0.9257984845053487,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0,10497.166666666666,1,0,1.1312267155044053,0.07692307692307693,4,0.43478260869565216,-0.32176366471256634,-0.2128301575625197,0.22481676590955743,1,0,-0.3611528739284868,-0.10093480124377129,-0.08214258395949302,2.0,0.01224710572782545,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0,7991.070821529745,0,1,-0.6695208751206501,0.42307692307692313,20,0.9130434782608695,-0.2593760116382657,1.2495972436381522,0.2604573166052391,1,0,-0.3611528739284868,-0.10093480124377129,-0.08214258395949302,2.0,0.06322784432745449,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0,7991.070821529745,0,1,1.1312267155044053,0.0,12,0.5652173913043478,-0.2801718959963659,-2.3739919827440086,-1.4986178355469661,0,1,3.1276250245269157,-0.10093480124377129,-0.08214258395949302,0.0,-0.915602336785423,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1,10497.166666666666,1,0,1.1312267155044053,0.3076923076923077,4,0.34782608695652173,0.6762883282937502,-0.2128301575625197,0.27471353688351174,1,0,-0.3611528739284868,-0.10093480124377129,-0.08214258395949302,2.0,0.0836201397673061,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,0,10497.166666666666,1,0,-1.0359751600635179,1.0,16,0.8260869565217391,-0.30096778035446614,-0.03132282735298011,1.17128736220022,2,0,-0.3611528739284868,-0.10093480124377129,-0.08214258395949302,2.0,-0.17128355323083908,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1,10497.166666666666,1,0,-0.6695208751206501,0.5384615384615385,4,0.3913043478260869,0.6762883282937502,-0.2128301575625197,2.012404358618308,2,0,-0.3611528739284868,-0.10093480124377129,-0.08214258395949302,2.0,1.031861877720406,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,0,10497.166666666666,1,0,1.1312267155044053,0.3076923076923077,4,0.43478260869565216,-0.30096778035446614,-0.03132282735298011,0.0965107834051033,1,0,-0.3611528739284868,-0.10093480124377129,-0.08214258395949302,2.0,-0.17128355323083908,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1,9146.543995572772,0,0,-1.0359751600635179,0.8846153846153847,4,0.34782608695652173,0.7386759813680508,1.2495972436381522,1.073061872466782,1,0,-0.3611528739284868,-0.10093480124377129,-0.08214258395949302,2.0,1.2255886843989965,0.0,1.0,0.0
